ledger_id,chunk_report,relative_path,terminal_status,data_domains,general_function,needs_followup,evidence_notes
J03884,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/bluetooth/BeanFactory.java,read_complete,"battery, bigdata, device_support, hr, hrv, sleep, spo2, steps_sport, temperature, uart_small_data",Maps UART command ID (int) → BaseRspCmd subclass instance,"Resolve VendorConstants.Operation aliases for 29,30,31,44,47",Complete command→response mapping. i2 parameter unused in switch. 120 (0x78) returns null.
J03933,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/CommandHandle.java,read_complete,"ble_connection, sync_scheduler, uart_small_data","Singleton dispatch for UART small-data commands: serialize, register callback, send",Find where LocalWriteRequestConcurrentHashMap entries are cleaned up (timeout logic),Callback key = value[0] & 0x7F. No timeout visible here.
J03967,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/LargeDataHandler.java,read_complete,"bigdata, ble_connection, hr, sleep, spo2, sync_scheduler, temperature",Singleton for bulk data sync over Large Data channel (separate UUIDs from UART),Confirm syncIntervalHeartRate actually calls syncIntervalBloodOxygenReal (looks like a decompiler bug — should be syncIntervalHeartRateReal),903 lines. Two sleep parsers: old (cmd 39) and lunch (cmd 62). Interval HR reuses getIntervalOxygen() (same format as SpO2). Temperature uses 2-byte LE values / 100.0f.
J03970,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/req/BaseReqCmd.java,read_complete,uart_small_data,"Abstract base for all UART request commands. Builds [cmd, subData, CRC] in 16-byte buffer",Confirm whether Constants.l is ever changed at runtime,CRC = sum of all preceding bytes & 0xFF. Buffer always 16 bytes.
J03974,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/req/BloodOxygenSettingReq.java,read_complete,spo2,Request to read/write SpO2 interval settings,Confirm BloodOxygenSettingRsp parsing (not assigned),"1, interval}."
J03990,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/req/HRVReq.java,read_complete,hrv_regular,Request HRV data for a given day offset,—,**Confirms HRV uses UART channel** (BaseReqCmd → MixtureReq → UART write). Single byte payload.
J04011,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/req/ReadHeartRateReq.java,read_complete,"hr, uart_small_data",Request historical HR data for a given UTC timestamp,—,4-byte UTC timestamp as subData. **UART channel.**
J04016,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/req/RealTimeHeartRate.java,read_complete,"hr, uart_small_data",Request real-time HR measurement with type parameter,—,Single byte type. **UART channel.**
J04026,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/req/StartHeartRateReq.java,read_complete,"hr, spo2, uart_small_data",Start/stop HR or SpO2 measurement sessions,Confirm what mode values 0-5 mean (interval vs manual vs continuous),"Mode 6=realtime HR, mode 16=ECG, mode<3 → param=0, mode>=3 → param=BCD(25). **UART channel.**"
J04045,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/rsp/BaseRspCmd.java,read_complete,uart_small_data,Abstract base for all UART response objects,—,"a=status, b=cmdType. Minimal base."
J04057,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/rsp/DeviceSupportFunctionRsp.java,read_complete,"device_support, uart_small_data",Parse device capability bitmap from BLE response,Map obfuscated field names (c..U) to actual feature names — needs cross-ref with UI code,30+ boolean feature flags. Bytes [1..4] always parsed. Bytes [5..9] conditionally parsed if non-zero.
J04067,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/rsp/HRVRsp.java,read_complete,"hrv_regular, uart_small_data",Multi-packet HRV response accumulator,Determine what the 13-byte HRV record contains (RMSSD? SDNN? LF/HF?),"13-byte-per-record. Multi-packet: init (count, range), first (dayOffset, data), continuation (data). End on b==count-1 or [0]==0xFF. **UART channel.**"
J04088,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/rsp/ReadHeartRateRsp.java,read_complete,"hr, uart_small_data",Multi-packet historical HR response accumulator,—,"13-byte-per-record. Multi-packet with UTC timestamp in first packet. 288-byte output array (5-min intervals for 24h). Timezone-adjusted. Special case: if today and b==23, returns empty."
J04095,java_chunks/custom_protocol_core_largedata_commandhandle.md,com/oudmon/ble/base/communication/rsp/RealTimeHeartRateRsp.java,read_complete,"hr, uart_small_data",Single-byte real-time HR response,—,Simplest response: one byte = HR value.
